                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     25,               0.012952,              0.0078308,              0.0042747,                      0,                0.96682,                0.83259,                0.95955,                0.81375,                0.97377,                0.83857,                0.96314,                0.74481,              0.0072972,              0.0042187,              0.0030655,                      0,                0.00784,                0.00784,                0.00784
                     26,               0.012791,               0.007919,              0.0041388,                      0,                0.92743,                 0.5842,                0.75123,                 0.5703,                0.80316,                0.78981,                0.88493,                0.59658,               0.013798,              0.0069763,              0.0054843,                      0,                0.00775,                0.00775,                0.00775
                     27,               0.012442,              0.0079485,              0.0041772,                      0,                0.98995,                0.84471,                0.96944,                0.87001,                0.99163,                0.84614,                0.97023,                0.78681,              0.0057331,              0.0043473,              0.0020205,                      0,                0.00766,                0.00766,                0.00766
                     28,               0.012064,               0.007726,              0.0040054,                      0,                0.89008,                0.60429,                0.76153,                0.64481,                0.90788,                 0.6617,                0.83845,                   0.64,               0.011054,              0.0084666,              0.0054618,                      0,                0.00757,                0.00757,                0.00757
                     29,               0.011994,               0.007584,              0.0040733,                      0,                 0.9175,                0.34953,                0.54132,                0.46178,                0.78589,                0.40214,                0.54481,                0.32264,               0.014418,               0.025399,              0.0070758,                      0,                0.00748,                0.00748,                0.00748
                     30,               0.011942,              0.0076579,              0.0039816,                      0,                      1,                0.44397,                0.61564,                0.51918,                      1,                0.44397,                0.56375,                0.36137,               0.013289,               0.026917,              0.0074963,                      0,                0.00739,                0.00739,                0.00739
                     31,               0.011946,              0.0075547,              0.0039914,                      0,                0.99377,                0.94286,                 0.9913,                0.88933,                0.99527,                0.94429,                0.99171,                0.77541,              0.0059216,              0.0043843,              0.0020124,                      0,                 0.0073,                 0.0073,                 0.0073
                     32,               0.011387,              0.0074347,              0.0038509,                      0,                0.96685,                0.90929,                0.97547,                0.87096,                0.96837,                0.91071,                0.97864,                0.80391,              0.0056811,              0.0040549,              0.0020153,                      0,                0.00721,                0.00721,                0.00721
                     33,               0.011556,              0.0074817,              0.0039063,                      0,                0.99552,                0.79435,                 0.9442,                0.82484,                0.95382,                0.87042,                0.97234,                0.76738,              0.0064152,              0.0042381,              0.0022085,                      0,                0.00712,                0.00712,                0.00712
                     34,               0.011388,              0.0075741,              0.0038907,                      0,                0.99539,                0.92443,                0.98189,                 0.8949,                0.99692,                0.92586,                0.98812,                0.79875,              0.0048974,              0.0043994,              0.0016875,                      0,                0.00703,                0.00703,                0.00703
                     35,               0.010938,              0.0073742,              0.0036889,                      0,                0.98933,                 0.8613,                0.95419,                0.85757,                0.99097,                0.86273,                0.95486,                0.73966,              0.0052548,              0.0046136,              0.0017436,                      0,                0.00694,                0.00694,                0.00694
                     36,               0.011025,              0.0073433,              0.0037732,                      0,                0.99851,                0.95568,                0.99474,                0.89544,                      1,                0.95711,                0.99499,                0.82721,              0.0041001,              0.0040929,              0.0015284,                      0,                0.00685,                0.00685,                0.00685
                     37,               0.010602,              0.0075232,              0.0036802,                      0,                0.98379,                 0.9104,                0.97839,                0.86571,                0.98533,                0.91183,                0.97879,                0.78757,              0.0056744,              0.0047009,              0.0018835,                      0,                0.00676,                0.00676,                0.00676
                     38,               0.010917,              0.0073161,              0.0036738,                      0,                0.87519,                0.89152,                0.95601,                0.80644,                0.99432,                0.86429,                0.96731,                0.76589,              0.0065648,              0.0043851,              0.0034999,                      0,                0.00667,                0.00667,                0.00667
                     39,               0.010389,               0.007233,              0.0036371,                      0,                0.99835,                0.86544,                  0.954,                0.89169,                      1,                0.86686,                 0.9549,                0.76502,              0.0046384,              0.0047249,              0.0016539,                      0,                0.00658,                0.00658,                0.00658
                     40,               0.010271,              0.0072367,              0.0036022,                      0,                0.81203,                0.88571,                  0.929,                0.80742,                0.79742,                0.87161,                0.92217,                0.74418,              0.0073726,              0.0042601,              0.0034411,                      0,                0.00649,                0.00649,                0.00649
                     41,               0.010177,              0.0072415,              0.0035581,                      0,                0.89991,                0.78214,                0.90419,                0.73431,                0.99426,                0.86677,                0.97594,                0.75411,              0.0084771,              0.0044942,              0.0042527,                      0,                 0.0064,                 0.0064,                 0.0064
                     42,               0.010309,              0.0073185,              0.0035722,                      0,                0.98481,                0.68357,                0.81164,                0.73587,                0.95904,                0.66643,                0.76531,                 0.4441,              0.0089076,               0.024341,              0.0049131,                      0,                0.00631,                0.00631,                0.00631
                     43,               0.010122,              0.0072038,              0.0036023,                      0,                0.89595,                0.85071,                0.92625,                0.79399,                0.95903,                0.85266,                 0.9363,                0.73289,               0.006847,              0.0041611,              0.0031755,                      0,                0.00622,                0.00622,                0.00622
                     44,              0.0099372,              0.0070553,              0.0035322,                      0,                0.99462,                0.79203,                0.91666,                0.80881,                0.99552,                0.79437,                0.94283,                0.71883,               0.006535,              0.0057534,              0.0029598,                      0,                0.00613,                0.00613,                0.00613
                     45,              0.0097061,              0.0071706,              0.0034231,                      0,                0.85632,                0.88546,                0.94662,                0.78723,                0.99088,                0.86929,                0.97697,                0.75793,              0.0076025,              0.0046614,              0.0037792,                      0,                0.00604,                0.00604,                0.00604
                     46,              0.0096021,              0.0071526,              0.0034269,                      0,                0.98697,                0.92006,                0.98308,                0.91031,                0.98851,                0.92149,                0.98366,                 0.8037,              0.0049956,              0.0042025,              0.0016729,                      0,                0.00595,                0.00595,                0.00595
